,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,0.9842875364390924,0.9378239437575344,0.9438139654947956,0.9407461799634926,0.9338193142732838,0.9422015119902007,0.933812459887694,0.9388532327398054,0.9356944710595334,0.9533251757840564,0.937567432142367,0.9449293116203332,0.940747285927658,0.9435038113508276,0.942069556369024,0.9394367377016668,0.9348729104728936,0.9418934823891952,0.9405164338543884,0.943714010947168,0.9355367035241924,0.9435471489185406,0.9356772607892929,0.9453498136349582
730ws,0.9378239437575344,0.9844788074008516,0.9414196800401824,0.9392419244164616,0.9131703072425708,0.9372717077091588,0.9113655735072432,0.9324927265476012,0.9148836139264236,0.9370744066033546,0.9163911707298696,0.942948573597318,0.9192997716615834,0.93819410348808,0.9196676469562188,0.9374247849016948,0.9109450499869376,0.9376234762978588,0.920812297926933,0.9399103091439444,0.909848674616812,0.9399205302026288,0.9177643200638491,0.9328249317785609
733ns,0.9438139654947956,0.9414196800401824,0.9847614042590755,0.9493145211268914,0.9213937585355052,0.9345172030568848,0.9230237331951754,0.9303720551218708,0.9224493726242028,0.931390286658548,0.925123611136994,0.9389493499116204,0.9337323895801516,0.9390606993728235,0.9293300978996808,0.9296701920296376,0.9201587683696776,0.9351797370390864,0.9346592985528818,0.9401452626256148,0.9229355858209076,0.9378419081282168,0.9254162044732276,0.9336335971290036
733ws,0.9407461799634926,0.9392419244164616,0.9493145211268914,0.9858447089746056,0.9215393680177542,0.9442436535061306,0.92325356297274,0.9352841818400456,0.9237244571556844,0.9394269441994876,0.9260105279311326,0.9416580511687788,0.9278886365983842,0.9492334144680696,0.9268264103331728,0.9405668890410016,0.9219995986239612,0.934022802617344,0.9286596198380748,0.9481408061095391,0.9214950343417936,0.9478702951031236,0.9197365632025634,0.9382207525851932
734ns,0.9338193142732838,0.9131703072425708,0.9213937585355052,0.9215393680177542,0.9855843608305688,0.9235095728754132,0.9489668055889648,0.9359110405519232,0.9541431562051286,0.939570631730806,0.9545333946371476,0.928039550755702,0.9436118112187252,0.9217201261092224,0.950284320116238,0.9233915287991379,0.9454523820910208,0.9402495300800604,0.94300739681525,0.9209103533440828,0.9514583790184862,0.9238446153361156,0.9586331565737956,0.9446650645314644
734ws,0.9422015119902007,0.9372717077091588,0.9345172030568848,0.9442436535061306,0.9235095728754132,0.9859372482470116,0.9245516530925282,0.9479205305639998,0.9315083914819146,0.951579670199238,0.9297680685320128,0.9497443298706808,0.9298127120039228,0.9528545028010728,0.933400372563026,0.9534902735272959,0.9259319698079558,0.942553491936788,0.930671227895715,0.9456093136490814,0.9267343144365409,0.9525328287908714,0.9264118832590841,0.9441544403322312
737ns,0.933812459887694,0.9113655735072432,0.9230237331951754,0.92325356297274,0.9489668055889648,0.9245516530925282,0.9857226298720344,0.9339013410605712,0.9504195443208536,0.940373191603366,0.9528080755590864,0.930170699550216,0.9479557511583158,0.925177855733491,0.9494159774458534,0.926390326209006,0.9419628579023972,0.936174190670814,0.9412395570509432,0.915567973473252,0.9500630477926988,0.9279083197957556,0.94529956767819,0.9405191952661462
737ws,0.9388532327398054,0.9324927265476012,0.9303720551218708,0.9352841818400456,0.9359110405519232,0.9479205305639998,0.9339013410605712,0.9859464751190202,0.9287508090511498,0.9475225393506528,0.932185741169846,0.9412360558856991,0.9329894294890244,0.9406331471130448,0.9312809803456679,0.9415567967942874,0.931996428019342,0.9441739923589012,0.930543334027362,0.9415017493792268,0.9266123811781526,0.9404813427012964,0.934402771156395,0.9538245058357878
760ns,0.9356944710595334,0.9148836139264236,0.9224493726242028,0.9237244571556844,0.9541431562051286,0.9315083914819146,0.9504195443208536,0.9287508090511498,0.9862305399754484,0.9494904326858252,0.9611478948674014,0.9336343543267744,0.9470552457405824,0.9319256456355204,0.954021639669414,0.9326158412381884,0.945251351764654,0.9397531515657308,0.9455598155922116,0.9214785431434592,0.9547692253812016,0.9318415459436566,0.9557988161273432,0.9436438557333136
760ws,0.9533251757840564,0.9370744066033546,0.931390286658548,0.9394269441994876,0.939570631730806,0.951579670199238,0.940373191603366,0.9475225393506528,0.9494904326858252,0.985478323372335,0.951231628893538,0.9498457330199808,0.939530446932174,0.9496308870849084,0.9445326880208664,0.9509964807787502,0.9379985315077434,0.9477786596228784,0.9434187351005672,0.942700399042776,0.943195994729876,0.9493520545552444,0.9393725750750048,0.9555917721175722
769ns,0.937567432142367,0.9163911707298696,0.925123611136994,0.9260105279311326,0.9545333946371476,0.9297680685320128,0.9528080755590864,0.932185741169846,0.9611478948674014,0.951231628893538,0.9862612875893932,0.9372766413473856,0.9482163764280058,0.931966857314249,0.9540197694268114,0.933148594146014,0.9470888814523829,0.9431224944301864,0.9496592393116152,0.9217059258088688,0.9562734908654456,0.9333951280247972,0.9600451967975664,0.9440657944885319
