,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,0.9816680137363905,0.8426773089739921,0.8865708535426385,0.8436847305845508,0.8569571834931509,0.8684258083804249,0.8506510743287291,0.8749401788668119,0.862677713257346,0.9069560715183242,0.8504333930666881,0.8590427430650074,0.8773930374759861,0.8542877751822909,0.8629249780502356,0.8564807953291392,0.8874319398618036,0.8627056567876691,0.8887670244150827,0.8521339738460157,0.8699657771307188,0.8587360168042077,0.8662759325517349,0.8784273810784173
730ws,0.8426773089739921,0.9772932675911216,0.8657743786450586,0.8219045787496054,0.7991632457448259,0.8562182085690309,0.7895235320566139,0.8382608565682008,0.8066815411174992,0.8444907319057486,0.7974864627476785,0.8429919671155058,0.8110693531499145,0.8393466741972254,0.8259901505458487,0.8306799175938209,0.8105369234073039,0.8155357288174131,0.8370359209168916,0.8645551005408247,0.7990653908606975,0.8366989728110594,0.7812528111602384,0.832676276686749
733ns,0.8865708535426385,0.8657743786450586,0.9772960508770401,0.8593271761524078,0.8446422529222243,0.8533559248747142,0.8412001229808883,0.8541825204966117,0.8281784787987763,0.8597841637934176,0.8330037066606251,0.8564172073652372,0.8363531282582066,0.8636770202102895,0.8365070326719557,0.8408133093094128,0.8355514755825038,0.8427674206539774,0.8851327636282442,0.8814705028914154,0.8484738626889082,0.8353394742534943,0.8504040242270409,0.8591785080886205
733ws,0.8436847305845508,0.8219045787496054,0.8593271761524078,0.979383368140434,0.7960870490106907,0.8505343312142125,0.8174312628421464,0.848652994017563,0.8099015785597935,0.8419960544104578,0.8014006494595463,0.8372377852466311,0.8145077736355264,0.8416563939833325,0.7878964122261972,0.8546955907181376,0.8171531283974088,0.8023877827455156,0.8503221442361177,0.8818149069503872,0.7994517177499171,0.8285501837884679,0.7984964731425802,0.8330836111225018
734ns,0.8569571834931509,0.7991632457448259,0.8446422529222243,0.7960870490106907,0.9846809179177768,0.8341092441807624,0.8698932536786865,0.847167167135856,0.8860995682807812,0.8713702072433703,0.8823059407737152,0.8209805130389426,0.8774390226004701,0.8089838720695306,0.8833365999360419,0.8209754981865074,0.8692709340440332,0.8591927683247897,0.8819652290449291,0.7924890032266487,0.8777642502624672,0.8036883435337576,0.919771792429006,0.8487127454847861
734ws,0.8684258083804249,0.8562182085690309,0.8533559248747142,0.8505343312142125,0.8341092441807624,0.9806259055276187,0.8243422714613816,0.8684741951727228,0.8386409623118156,0.8682231528441593,0.8220868727633222,0.8738333225092563,0.8392743506972259,0.8601536078340601,0.8526967037615942,0.8516570731952434,0.8493127514918283,0.8408612782877526,0.8689569434397106,0.85286095566488,0.8311614955826928,0.8431514953655775,0.8327494398657677,0.8514668197825193
737ns,0.8506510743287291,0.7895235320566139,0.8412001229808883,0.8174312628421464,0.8698932536786865,0.8243422714613816,0.9838864234409914,0.8658841469802985,0.8645145634577407,0.8587539683986918,0.8689737784744198,0.7971934941227459,0.8540722766218514,0.7909028979105172,0.8514926151814234,0.8356343351070358,0.8664043233595861,0.8407272822449195,0.8758832152998296,0.8115554352487759,0.8441127618648779,0.8166461646122474,0.8682058024780313,0.8309741972357853
737ws,0.8749401788668119,0.8382608565682008,0.8541825204966117,0.848652994017563,0.847167167135856,0.8684741951727228,0.8658841469802985,0.9801844006636812,0.8543787194710949,0.8918331171991796,0.8333902869676881,0.8466709451799708,0.8401525761666928,0.8410257108647791,0.8426165280295983,0.8686505835875589,0.8586404557296284,0.8277227488677411,0.8692842528317622,0.8633034308597353,0.8520034624159025,0.8660059930138129,0.8450203448134317,0.8819097258986351
760ns,0.862677713257346,0.8066815411174992,0.8281784787987763,0.8099015785597935,0.8860995682807812,0.8386409623118156,0.8645145634577407,0.8543787194710949,0.9851675529604,0.8970213096266557,0.8790675205415851,0.8097093631085942,0.8749114151986682,0.8345348199497575,0.8804604850552001,0.8418076406460292,0.8801473679565879,0.8790230603707738,0.8590922589035214,0.820174050091879,0.8918424668925565,0.8332960504121302,0.8923481565758979,0.8762685622253481
760ws,0.9069560715183242,0.8444907319057486,0.8597841637934176,0.8419960544104578,0.8713702072433703,0.8682231528441593,0.8587539683986918,0.8918331171991796,0.8970213096266557,0.980755122862182,0.8661924159410731,0.8639797858729419,0.8636840803872348,0.8625140805585361,0.890552684408915,0.8794315719755451,0.8848109928991059,0.8752218123095389,0.9013919319059984,0.8460001925043861,0.8776150007423993,0.8679822646344725,0.8640611430119298,0.8956230814506736
769ns,0.8504333930666881,0.7974864627476785,0.8330037066606251,0.8014006494595463,0.8823059407737152,0.8220868727633222,0.8689737784744198,0.8333902869676881,0.8790675205415851,0.8661924159410731,0.9842925673216878,0.8262180234729682,0.8754474806926177,0.8238976842656809,0.8715321448889997,0.8319522697453402,0.8824063699590239,0.8733108375393839,0.8580425113455553,0.8106610387394378,0.8622894719846347,0.826432092157711,0.9048576773544228,0.8514330465954063
769ws,0.8590427430650074,0.8429919671155058,0.8564172073652372,0.8372377852466311,0.8209805130389426,0.8738333225092563,0.7971934941227459,0.8466709451799708,0.8097093631085942,0.8639797858729419,0.8262180234729682,0.9803350674100236,0.830041793389602,0.8644102678715015,0.8320861963974954,0.8667669368911645,0.8521905385634989,0.8402328049605465,0.8526370608388906,0.836481942794292,0.8269304119191027,0.8532469798762141,0.816308213111018,0.837291776341645
781ns,0.8773930374759861,0.8110693531499145,0.8363531282582066,0.8145077736355264,0.8774390226004701,0.8392743506972259,0.8540722766218514,0.8401525761666928,0.8749114151986682,0.8636840803872348,0.8754474806926177,0.830041793389602,0.9839589665992228,0.8246565668234137,0.8656393809467232,0.8248944404303762,0.8608063252963526,0.848520885690528,0.8671389366083906,0.8294387474526693,0.8700078322901578,0.8041451009674265,0.8954128137352859,0.8424780827346854
781ws,0.8542877751822909,0.8393466741972254,0.8636770202102895,0.8416563939833325,0.8089838720695306,0.8601536078340601,0.7909028979105172,0.8410257108647791,0.8345348199497575,0.8625140805585361,0.8238976842656809,0.8644102678715015,0.8246565668234137,0.9822469043440408,0.8236582443963882,0.8452694616478117,0.8331456672801268,0.8333664605277213,0.8249448547956479,0.8356792285155514,0.8291079184754643,0.8655662377782527,0.8062910166183311,0.8536129141838464
795ns,0.8629249780502356,0.8259901505458487,0.8365070326719557,0.7878964122261972,0.8833365999360419,0.8526967037615942,0.8514926151814234,0.8426165280295983,0.8804604850552001,0.890552684408915,0.8715321448889997,0.8320861963974954,0.8656393809467232,0.8236582443963882,0.9837204372302736,0.8550074132323984,0.8703962542618863,0.8975812971358809,0.8625801360277902,0.7975684345722467,0.9058440844567984,0.8191146997790607,0.8927424739436665,0.8540006716536542
795ws,0.8564807953291392,0.8306799175938209,0.8408133093094128,0.8546955907181376,0.8209754981865074,0.8516570731952434,0.8356343351070358,0.8686505835875589,0.8418076406460292,0.8794315719755451,0.8319522697453402,0.8667669368911645,0.8248944404303762,0.8452694616478117,0.8550074132323984,0.9811276294240818,0.862623532719631,0.8544413328038626,0.8418820537454571,0.8405280139225461,0.8353177367231418,0.8802802192226521,0.8264790588027129,0.8459910107197511
