,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.9378714832317276,0.9417804285317288,0.9366783436879246,0.9480560438996852,0.951949933426923,0.9428305951703749,0.952786135701696,0.9449015067448122,0.964896884817918,0.9492818095952448,0.953614556415852,0.948908386749832,0.9517035511695884,0.9479256435633988,0.94865228199374,0.9443299073823392,0.9544071890867812,0.9531523706956174,0.9494496700940156,0.9485811623758934,0.9457933275435216,0.9493579034604646,0.9600316337833376
730ws,0.9378714832317276,1.0,0.9489234744318328,0.9497382311456071,0.9178725851577348,0.9490723011814012,0.9118875164671616,0.944546977344479,0.9138217186240956,0.9378631369877696,0.9197384411978772,0.9520388928871678,0.9209865271050758,0.950593075830231,0.9205763903439258,0.9473506134619908,0.9100685997831648,0.9417210888035116,0.9213328834949088,0.9484913232874492,0.9093888412999394,0.9477297411514436,0.9193642178307094,0.9381178907629067
733ns,0.9417804285317288,0.9489234744318328,1.0,0.9495035604302152,0.9232189537433791,0.9394852849249032,0.9193770064595188,0.9373401449833316,0.9180044388086996,0.936504922579128,0.9246471004656036,0.9393078423423564,0.9275649963245144,0.9424989306201244,0.9225256568762672,0.9360515736478356,0.9192018146718822,0.9351124191185176,0.9335690658395728,0.9422696358424929,0.9239890495568231,0.9409999008027092,0.9249900728206352,0.9361694693449238
733ws,0.9366783436879246,0.9497382311456071,0.9495035604302152,0.9999967486728696,0.9228819733643471,0.9457784353386672,0.918446615697154,0.9427700230148838,0.919753714140035,0.9407377939859991,0.9275031936192084,0.9470984685018308,0.9254467232322816,0.9525228963242708,0.9289521013416964,0.948015941059986,0.9205252916462752,0.9403089819349196,0.9323621753890624,0.9523652014941578,0.9223731309767794,0.9444160541749704,0.9236698583145684,0.941014402789872
734ns,0.9480560438996852,0.9178725851577348,0.9232189537433791,0.9228819733643471,0.9999976548676252,0.9375139780795276,0.9620113592101718,0.9457348535278888,0.9692860449427168,0.950975392479957,0.967241760653244,0.9385308387667816,0.9591056846030138,0.9352721435392718,0.9708576724128364,0.9344086139908108,0.9509316190447968,0.9502606124850442,0.9606297235084084,0.936574865707476,0.9671233932711976,0.9313377553385256,0.9711564480304096,0.9538096207244402
734ws,0.951949933426923,0.9490723011814012,0.9394852849249032,0.9457784353386672,0.9375139780795276,0.999868887986498,0.934431885830076,0.9661398044122856,0.9364222534137846,0.9585500651918528,0.9425073049697198,0.9642021511517368,0.9409826270364424,0.9620294600149508,0.9423611357663368,0.9644765303324032,0.9369976387817758,0.9561821540090092,0.9434581540996221,0.9598677660113004,0.9341593374066396,0.9549709022518792,0.9413962196711118,0.9598466054046072
737ns,0.9428305951703749,0.9118875164671616,0.9193770064595188,0.918446615697154,0.9620113592101718,0.934431885830076,0.9999976142696104,0.9399335375788704,0.9649598436438459,0.9432616527812192,0.9574675530694076,0.9344246191033628,0.9571026555634756,0.9300231407214562,0.9597284011121616,0.9324208363163536,0.9454303362680816,0.9453007278868026,0.9491070417325236,0.930195181316692,0.9541093667068606,0.925479770504712,0.9580702687548706,0.9443841225332992
737ws,0.952786135701696,0.944546977344479,0.9373401449833316,0.9427700230148838,0.9457348535278888,0.9661398044122856,0.9399335375788704,0.9999034576706206,0.9432193227684572,0.9626920186471783,0.948508041113761,0.9618120722562888,0.94554373250137,0.96049987865728,0.9466887569420392,0.9616795499384456,0.9383655475816544,0.9591930135245827,0.94957055117776,0.9615779149263801,0.9395417602720284,0.953223685792258,0.948027410456762,0.9669560815621944
760ns,0.9449015067448122,0.9138217186240956,0.9180044388086996,0.919753714140035,0.9692860449427168,0.9364222534137846,0.9649598436438459,0.9432193227684572,0.9999978969593872,0.9560606992533988,0.9714560749999718,0.939553071286359,0.9567694830774236,0.9353944312955632,0.9660329769604158,0.9369566105655444,0.9533242996177238,0.951257688384081,0.9595418687007131,0.9333286163585366,0.962426894193744,0.9320160844556205,0.9693394464507428,0.9517525632673052
760ws,0.964896884817918,0.9378631369877696,0.936504922579128,0.9407377939859991,0.950975392479957,0.9585500651918528,0.9432616527812192,0.9626920186471783,0.9560606992533988,0.9999156904726112,0.9600413583822116,0.9618409716290528,0.951215258870654,0.9587414420876516,0.9576734082862456,0.9577985219865944,0.9462062815145506,0.9632961922244252,0.9606222566586184,0.9504194734534964,0.9507188755204312,0.9545863661571402,0.9525771892974622,0.9694777004645784
769ns,0.9492818095952448,0.9197384411978772,0.9246471004656036,0.9275031936192084,0.967241760653244,0.9425073049697198,0.9574675530694076,0.948508041113761,0.9714560749999718,0.9600413583822116,0.9999979449234716,0.9496866624162036,0.9591953571539878,0.9390297428161204,0.9651289497235164,0.9399672756739352,0.9527668509272204,0.9563847591107858,0.9654101641559938,0.9376254362579508,0.9670061563295838,0.9360486067599836,0.9694839295220494,0.9598189936946928
