,867ns,760ns,769ns,852ws,867ws,734ns,866ns,781ns,769ws,730ws,852ns,861ns,781ws,733ns,795ns,760ws,795ws,861ws,737ns,730ns,737ws,734ws,866ws,733ws
867ns,,0.9558149515611916,0.9596822703390926,0.9436790389455092,0.9467190732939014,0.9587170284791156,0.9509403843149772,0.9460247040457505,0.9315407062757048,0.9180505308553916,0.9445863009230896,0.9451877079221408,0.927920266769959,0.925090155348486,0.9551213484260658,0.9397615955694504,0.9262887733596762,0.923274618154635,0.9451960234023202,0.935807781100775,0.9341537030245964,0.9265520740650576,0.9279088343302412,0.9200174725841228
760ns,0.9558149515611916,,0.9611710866705588,0.9399493808166792,0.943191096278778,0.9539998233234096,0.9556237015146788,0.9474525185424943,0.9343977983894004,0.9148114989126528,0.9457540565488156,0.9453646848225444,0.9316849228487344,0.9217231668657776,0.9538608258610888,0.9493044713940806,0.9330294890042192,0.9211173351045548,0.9512265441581482,0.9360973495434568,0.9293201803536744,0.9318560422927774,0.9322372258128514,0.9236680320682936
769ns,0.9596822703390926,0.9611710866705588,,0.9432157582942426,0.943937268417668,0.9550442642592614,0.9562500027233368,0.9477755218606672,0.9372994852259264,0.9160140417596228,0.9474614377172256,0.949120671307088,0.9324861586281848,0.92498858476059,0.9543145521440792,0.9513191267063154,0.933030640162869,0.9221107887587258,0.952687664109638,0.9376918762023224,0.9319753439512106,0.9298355030663094,0.9335484033607142,0.9260887817731932
852ws,0.9436790389455092,0.9399493808166792,0.9432157582942426,,0.9476678608795076,0.9398746498614172,0.936518518243618,0.9365842515802268,0.94677852763557,0.9377185822017748,0.9388629318419284,0.9353915424395116,0.9425481594199309,0.93488229771247,0.9405702154636688,0.9478125723818436,0.9454696804539272,0.9388424832929484,0.9358678027769272,0.9414441119275168,0.9443351068824768,0.9426742603554112,0.9433571593321469,0.9343065795629144
867ws,0.9467190732939014,0.943191096278778,0.943937268417668,0.9476678608795076,,0.945404108598752,0.9377768965839228,0.9406838452181296,0.9463305929683724,0.9336472298900544,0.9365977651129792,0.9433067006325332,0.9452970593547928,0.9339759129177794,0.9427106007692792,0.9558094230491581,0.9438502289632807,0.9418666063210756,0.9409877038582679,0.9458069569164216,0.9543619257735791,0.9446677351168732,0.9419521482744913,0.9386714103179874
734ns,0.9587170284791156,0.9539998233234096,0.9550442642592614,0.9398746498614172,0.945404108598752,,0.95177433399468,0.9432900092057306,0.9283306028982778,0.9137299077857546,0.9460474741932958,0.9431084889148628,0.921887918036254,0.920949872881272,0.9501950935445659,0.9395853192676642,0.9234671584614048,0.9214025536102624,0.9490995491734638,0.9339849851752592,0.936474184654996,0.9231462505691156,0.924686836660914,0.9223506086854202
866ns,0.9509403843149772,0.9556237015146788,0.9562500027233368,0.936518518243618,0.9377768965839228,0.95177433399468,,0.9439964157381708,0.927351842096536,0.9099040066902461,0.9411404315406794,0.9460836583210048,0.927423456132622,0.9231219052386492,0.9523980227781321,0.9429290366832256,0.9241525363284844,0.9188870452477568,0.9504670080926162,0.9358988149506524,0.9280260051500088,0.9268856215785668,0.9301576666318264,0.9221290481195392
781ns,0.9460247040457505,0.9474525185424943,0.9477755218606672,0.9365842515802268,0.9406838452181296,0.9432900092057306,0.9439964157381708,,0.936446956811652,0.9196685452709229,0.9392271493942688,0.944758617375258,0.9349070827701798,0.9340594253992442,0.9485782903505182,0.9395332747665872,0.9277757557065646,0.9239388642485225,0.9476287503584664,0.9410685304619448,0.9331518619838214,0.9292611352322432,0.9337965003021044,0.9285651476058044
769ws,0.9315407062757048,0.9343977983894004,0.9372994852259264,0.94677852763557,0.9463305929683724,0.9283306028982778,0.927351842096536,0.936446956811652,,0.9434719863740876,0.9283833260286036,0.9378366263411396,0.9483514108905436,0.9393493920424878,0.9360687839193504,0.9501845629964609,0.9471720130084282,0.9423750326108752,0.9307424583669686,0.9451893446608356,0.9416647670201074,0.950012309485982,0.9504834390592702,0.942132252977642
730ws,0.9180505308553916,0.9148114989126528,0.9160140417596228,0.9377185822017748,0.9336472298900544,0.9137299077857546,0.9099040066902461,0.9196685452709229,0.9434719863740876,,0.910820289004884,0.9211101850036816,0.9380583605042108,0.9416421880292916,0.92041560830803,0.936969570105174,0.9377849266449148,0.9403529173103544,0.9128090910165872,0.9381708571904668,0.9331888591375304,0.9381248940759808,0.9396719836548668,0.9401046388326096
852ns,0.9445863009230896,0.9457540565488156,0.9474614377172256,0.9388629318419284,0.9365977651129792,0.9460474741932958,0.9411404315406794,0.9392271493942688,0.9283833260286036,0.910820289004884,,0.9418233842340981,0.9249907066115884,0.9207041330325791,0.9419160232370088,0.9376978550709678,0.9259112265655772,0.919129798354174,0.9419402830131076,0.9347741278095482,0.9321872902522916,0.925933542890768,0.9298291555800636,0.9225292234526468
861ns,0.9451877079221408,0.9453646848225444,0.949120671307088,0.9353915424395116,0.9433067006325332,0.9431084889148628,0.9460836583210048,0.944758617375258,0.9378366263411396,0.9211101850036816,0.9418233842340981,,0.9330254960578982,0.9344389085863842,0.9449710279796378,0.9436424890171866,0.9292458386890088,0.9249826580139028,0.940752263982044,0.9410324181098284,0.9302027452569528,0.9313999845155848,0.9312115492937456,0.9291095797536641
781ws,0.927920266769959,0.9316849228487344,0.9324861586281848,0.9425481594199309,0.9452970593547928,0.921887918036254,0.927423456132622,0.9349070827701798,0.9483514108905436,0.9380583605042108,0.9249907066115884,0.9330254960578982,,0.9384702384776478,0.9327355895685828,0.949829154369904,0.9500590491408356,0.9477462631985444,0.9252660932923138,0.9435362574992024,0.9410659456937136,0.953367112016094,0.958410490146934,0.9495862085913572
733ns,0.925090155348486,0.9217231668657776,0.92498858476059,0.93488229771247,0.9339759129177794,0.920949872881272,0.9231219052386492,0.9340594253992442,0.9393493920424878,0.9416421880292916,0.9207041330325791,0.9344389085863842,0.9384702384776478,,0.9294337327522147,0.9313286383791064,0.9296863116143368,0.9399768090607368,0.9229683112348036,0.9437897392122768,0.9305292196888896,0.93456539056605,0.9379903199047148,0.9494118855159192
795ns,0.9551213484260658,0.9538608258610888,0.9543145521440792,0.9405702154636688,0.9427106007692792,0.9501950935445659,0.9523980227781321,0.9485782903505182,0.9360687839193504,0.92041560830803,0.9419160232370088,0.9449710279796378,0.9327355895685828,0.9294337327522147,,0.9446013944166058,0.9338944644863342,0.9243474344163788,0.9495891966960222,0.9421906378188551,0.9312126637802294,0.933620204203506,0.9344107394865724,0.9271241872299314
760ws,0.9397615955694504,0.9493044713940806,0.9513191267063154,0.9478125723818436,0.9558094230491581,0.9395853192676642,0.9429290366832256,0.9395332747665872,0.9501845629964609,0.936969570105174,0.9376978550709678,0.9436424890171866,0.949829154369904,0.9313286383791064,0.9446013944166058,,0.9511801150841996,0.9425682343569608,0.9401587443536372,0.9537391518607946,0.9476675448170276,0.9516016849219272,0.9499375711805702,0.939959261536941
795ws,0.9262887733596762,0.9330294890042192,0.933030640162869,0.9454696804539272,0.9438502289632807,0.9234671584614048,0.9241525363284844,0.9277757557065646,0.9471720130084282,0.9377849266449148,0.9259112265655772,0.9292458386890088,0.9500590491408356,0.9296863116143368,0.9338944644863342,0.9511801150841996,,0.9398719998855478,0.9260273171023816,0.9396027912996358,0.942045905937738,0.953438530995906,0.9510888418906899,0.9408789549140608
