,867ns,760ns,769ns,852ws,867ws,734ns,866ns,781ns,769ws,730ws,852ns,861ns,781ws,733ns,795ns,760ws,795ws,861ws,737ns,730ns,737ws,734ws,866ws,733ws
867ns,,0.8923481565758979,0.9048576773544228,0.8814739942536948,0.8543217177363258,0.9188615902131552,0.890123352314312,0.8954128137352859,0.8170708565624559,0.7816580208925263,0.8634016200370195,0.8771250249193299,0.8062910166183311,0.8504040242270409,0.8930850903026741,0.8640611430119298,0.8264790588027129,0.8056409134155864,0.8682072473148541,0.8662759325517349,0.8453949386992802,0.8327494398657677,0.8130681409385929,0.7984964731425802
760ns,0.8923481565758979,,0.8790675205415851,0.8790230603707738,0.8762685622253481,0.8860995682807812,0.8920675735028527,0.8749114151986682,0.8104655434799353,0.8066815411174992,0.8801473679565879,0.8590922589035214,0.8345348199497575,0.8285633355308125,0.8804604850552001,0.8970213096266557,0.8421709321301496,0.8205678988036357,0.8645159967819195,0.862677713257346,0.8540074259719059,0.8390074128523197,0.8328723521926502,0.8099015785597935
769ns,0.9048576773544228,0.8790675205415851,,0.8733108375393839,0.8517597273098091,0.8823059407737152,0.8622894719846347,0.8754474806926177,0.8262180234729682,0.7974864627476785,0.8824063699590239,0.8582759210685263,0.8238976842656809,0.8326324131614359,0.8710997897822954,0.8661924159410731,0.8330606774083077,0.8102813827740508,0.8689751675260371,0.8507816725060101,0.8330316332471949,0.8220868727633222,0.8268415484202336,0.8014006494595463
852ws,0.8814739942536948,0.8790230603707738,0.8733108375393839,,0.8633532902278936,0.8597670082589283,0.8752211602946219,0.848520885690528,0.8402328049605465,0.8155357288174131,0.8678789423685697,0.8545067741798086,0.8333664605277213,0.8423843132707232,0.8974752759190119,0.8752218123095389,0.8548030650970639,0.7972981720733093,0.8407287098813039,0.8627056567876691,0.8273530838488115,0.8408612782877526,0.8290813004025915,0.8023877827455156
867ws,0.8543217177363258,0.8762685622253481,0.8517597273098091,0.8633532902278936,,0.8479500722286676,0.8598064431158416,0.8424780827346854,0.8368750730526159,0.832676276686749,0.8616853250082998,0.8707047676804489,0.8536129141838464,0.8591785080886205,0.8513985630749991,0.8956230814506736,0.8459910107197511,0.8358393781664192,0.8309756900339964,0.8784273810784173,0.8819097258986351,0.8514668197825193,0.8453233815270618,0.8334684678545381
734ns,0.9188615902131552,0.8860995682807812,0.8823059407737152,0.8597670082589283,0.8479500722286676,,0.8777642502624672,0.8774390226004701,0.8209805130389426,0.7991632457448259,0.8692709340440332,0.8819652290449291,0.8081858004766302,0.8446422529222243,0.8829669336837321,0.8713702072433703,0.8201421903554851,0.7915968194176044,0.8702331869665773,0.8575962556896861,0.847167167135856,0.8341092441807624,0.8036883435337576,0.795625113578085
866ns,0.890123352314312,0.8920675735028527,0.8622894719846347,0.8752211602946219,0.8598064431158416,0.8777642502624672,,0.8729865898227332,0.8269304119191027,0.8004928490683152,0.8796399525332573,0.8745528499214392,0.8294038261370953,0.8484738626889082,0.9058440844567984,0.8776150007423993,0.8353177367231418,0.8166394684205526,0.8441142363090127,0.8699657771307188,0.8520034624159025,0.8314168855934773,0.8223125657049428,0.7994517177499171
781ns,0.8954128137352859,0.8749114151986682,0.8754474806926177,0.848520885690528,0.8424780827346854,0.8774390226004701,0.8729865898227332,,0.830041793389602,0.8114886746639242,0.8604678368452846,0.8683905164321255,0.8246565668234137,0.8363531282582066,0.8656393809467232,0.8636840803872348,0.8270687128849481,0.8294387474526693,0.8540737632514749,0.8773930374759861,0.8405391982965824,0.8379027283326409,0.8063390500957953,0.8145077736355264
769ws,0.8170708565624559,0.8104655434799353,0.8262180234729682,0.8402328049605465,0.8368750730526159,0.8209805130389426,0.8269304119191027,0.830041793389602,,0.842485650215933,0.8525929955862364,0.8526370608388906,0.8635802280220295,0.8564172073652372,0.8320861963974954,0.8639797858729419,0.8672197010417442,0.8369776003907159,0.7964089178968973,0.8590427430650074,0.8471348611569195,0.8733761625902243,0.853704139795246,0.8381083148448579
730ws,0.7816580208925263,0.8066815411174992,0.7974864627476785,0.8155357288174131,0.832676276686749,0.7991632457448259,0.8004928490683152,0.8114886746639242,0.842485650215933,,0.8105369234073039,0.835055317452893,0.8389007290950249,0.8657743786450586,0.8228623634664548,0.8444907319057486,0.8333439986782687,0.8645551005408247,0.789106000415086,0.8426773089739921,0.841000194180458,0.8562182085690309,0.8366989728110594,0.8223754369860073
852ns,0.8634016200370195,0.8801473679565879,0.8824063699590239,0.8678789423685697,0.8616853250082998,0.8692709340440332,0.8796399525332573,0.8604678368452846,0.8525929955862364,0.8105369234073039,,0.8734274919677792,0.8335012943869451,0.8355514755825038,0.8703962542618863,0.8848109928991059,0.862623532719631,0.8120157302800524,0.8664057681964089,0.8874319398618036,0.8578327481083117,0.8493127514918283,0.8455382813097511,0.8171531283974088
861ns,0.8771250249193299,0.8590922589035214,0.8582759210685263,0.8545067741798086,0.8707047676804489,0.8819652290449291,0.8745528499214392,0.8683905164321255,0.8526370608388906,0.835055317452893,0.8734274919677792,,0.8253368716529312,0.8851327636282442,0.8625801360277902,0.9013919319059984,0.8418820537454571,0.8470135166513163,0.8758848001648907,0.8870127756326841,0.8692842528317622,0.8689569434397106,0.8271557600360937,0.8507332838669271
781ws,0.8062910166183311,0.8345348199497575,0.8238976842656809,0.8333664605277213,0.8536129141838464,0.8081858004766302,0.8294038261370953,0.8246565668234137,0.8635802280220295,0.8389007290950249,0.8335012943869451,0.8253368716529312,,0.8632513453400071,0.823286950897199,0.8629042825229616,0.8448700131913381,0.8361159312322143,0.7909044621034251,0.8542877751822909,0.8414348546721379,0.8605568787638016,0.8659695087079939,0.8416563939833325
733ns,0.8504040242270409,0.8285633355308125,0.8326324131614359,0.8423843132707232,0.8591785080886205,0.8446422529222243,0.8484738626889082,0.8363531282582066,0.8564172073652372,0.8657743786450586,0.8355514755825038,0.8851327636282442,0.8632513453400071,,0.8365070326719557,0.8597841637934176,0.8408133093094128,0.8814705028914154,0.8412018361445497,0.8865708535426385,0.8541825204966117,0.8533559248747142,0.8353394742534943,0.8593271761524078
795ns,0.8930850903026741,0.8804604850552001,0.8710997897822954,0.8974752759190119,0.8513985630749991,0.8829669336837321,0.9058440844567984,0.8656393809467232,0.8320861963974954,0.8228623634664548,0.8703962542618863,0.8625801360277902,0.823286950897199,0.8365070326719557,,0.890552684408915,0.8550074132323984,0.7975684345722467,0.8514941204716696,0.8629249780502356,0.8426165280295983,0.8526967037615942,0.8191146997790607,0.7882848160248882
760ws,0.8640611430119298,0.8970213096266557,0.8661924159410731,0.8752218123095389,0.8956230814506736,0.8713702072433703,0.8776150007423993,0.8636840803872348,0.8639797858729419,0.8444907319057486,0.8848109928991059,0.9013919319059984,0.8629042825229616,0.8597841637934176,0.890552684408915,,0.8794315719755451,0.8460001925043861,0.8587555463125903,0.9069560715183242,0.8918331171991796,0.8682231528441593,0.8679822646344725,0.8419960544104578
795ws,0.8264790588027129,0.8421709321301496,0.8330606774083077,0.8548030650970639,0.8459910107197511,0.8201421903554851,0.8353177367231418,0.8270687128849481,0.8672197010417442,0.8333439986782687,0.862623532719631,0.8418820537454571,0.8448700131913381,0.8408133093094128,0.8550074132323984,0.8794315719755451,,0.8405280139225461,0.8360139018724384,0.8564807953291392,0.8686505835875589,0.8516570731952434,0.8802802192226521,0.8546955907181376
861ws,0.8056409134155864,0.8205678988036357,0.8102813827740508,0.7972981720733093,0.8358393781664192,0.7915968194176044,0.8166394684205526,0.8294387474526693,0.8369776003907159,0.8645551005408247,0.8120157302800524,0.8470135166513163,0.8361159312322143,0.8814705028914154,0.7975684345722467,0.8460001925043861,0.8405280139225461,,0.8119683298277262,0.8521339738460157,0.8633034308597353,0.85286095566488,0.8303288112822611,0.8829193853274454
737ns,0.8682072473148541,0.8645159967819195,0.8689751675260371,0.8407287098813039,0.8309756900339964,0.8702331869665773,0.8441142363090127,0.8540737632514749,0.7964089178968973,0.789106000415086,0.8664057681964089,0.8758848001648907,0.7909044621034251,0.8412018361445497,0.8514941204716696,0.8587555463125903,0.8360139018724384,0.8119683298277262,,0.8506526732814796,0.8658857972755686,0.8247252732201364,0.8162664186396363,0.8174328981347321
730ns,0.8662759325517349,0.862677713257346,0.8507816725060101,0.8627056567876691,0.8784273810784173,0.8575962556896861,0.8699657771307188,0.8773930374759861,0.8590427430650074,0.8426773089739921,0.8874319398618036,0.8870127756326841,0.8542877751822909,0.8865708535426385,0.8629249780502356,0.9069560715183242,0.8564807953291392,0.8521339738460157,0.8506526732814796,,0.8749401788668119,0.8684258083804249,0.8563592385818082,0.8436847305845508
737ws,0.8453949386992802,0.8540074259719059,0.8330316332471949,0.8273530838488115,0.8819097258986351,0.847167167135856,0.8520034624159025,0.8405391982965824,0.8471348611569195,0.841000194180458,0.8578327481083117,0.8692842528317622,0.8414348546721379,0.8541825204966117,0.8426165280295983,0.8918331171991796,0.8686505835875589,0.8633034308597353,0.8658857972755686,0.8749401788668119,,0.8675516864681729,0.8660059930138129,0.848652994017563
734ws,0.8327494398657677,0.8390074128523197,0.8220868727633222,0.8408612782877526,0.8514668197825193,0.8341092441807624,0.8314168855934773,0.8379027283326409,0.8733761625902243,0.8562182085690309,0.8493127514918283,0.8689569434397106,0.8605568787638016,0.8533559248747142,0.8526967037615942,0.8682231528441593,0.8516570731952434,0.85286095566488,0.8247252732201364,0.8684258083804249,0.8675516864681729,,0.8422428242915961,0.8505343312142125
866ws,0.8130681409385929,0.8328723521926502,0.8268415484202336,0.8290813004025915,0.8453233815270618,0.8036883435337576,0.8223125657049428,0.8063390500957953,0.853704139795246,0.8366989728110594,0.8455382813097511,0.8271557600360937,0.8659695087079939,0.8353394742534943,0.8191146997790607,0.8679822646344725,0.8802802192226521,0.8303288112822611,0.8162664186396363,0.8563592385818082,0.8660059930138129,0.8422428242915961,,0.8285501837884679
733ws,0.7984964731425802,0.8099015785597935,0.8014006494595463,0.8023877827455156,0.8334684678545381,0.795625113578085,0.7994517177499171,0.8145077736355264,0.8381083148448579,0.8223754369860073,0.8171531283974088,0.8507332838669271,0.8416563939833325,0.8593271761524078,0.7882848160248882,0.8419960544104578,0.8546955907181376,0.8829193853274454,0.8174328981347321,0.8436847305845508,0.848652994017563,0.8505343312142125,0.8285501837884679,
