,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.7428571428571429,0.7732142857142857,0.7946428571428571,0.8517857142857143,0.825,0.8553571428571428,0.825,0.8875,0.9142857142857144,0.9125,0.8375,0.8767857142857143,0.8464285714285714,0.8660714285714286,0.8196428571428571,0.8839285714285714,0.8642857142857143,0.8571428571428571,0.775,0.875,0.8303571428571429,0.8875,0.8803571428571428
730ws,0.8851063829787233,1.0,0.8531914893617021,0.8872340425531915,0.8446808510638298,0.8978723404255319,0.8489361702127659,0.8808510638297873,0.8808510638297873,0.9234042553191488,0.9021276595744679,0.9297872340425531,0.8680851063829788,0.9148936170212766,0.8531914893617021,0.9106382978723404,0.8702127659574468,0.9319148936170212,0.8553191489361702,0.8468085106382979,0.8446808510638298,0.9148936170212766,0.8808510638297873,0.9085106382978724
733ns,0.8712273641851107,0.806841046277666,1.0,0.8832997987927566,0.8390342052313883,0.8490945674044266,0.8430583501006036,0.8329979879275654,0.8692152917505029,0.8812877263581489,0.9014084507042254,0.8692152917505029,0.8732394366197183,0.8792756539235412,0.8430583501006036,0.8430583501006036,0.8712273641851107,0.8832997987927566,0.8732394366197183,0.8169014084507042,0.8692152917505029,0.8712273641851107,0.8853118712273642,0.8752515090543259
733ws,0.8165137614678899,0.7651376146788991,0.8055045871559633,1.0,0.7889908256880734,0.8366972477064221,0.7871559633027523,0.8055045871559633,0.8275229357798165,0.8587155963302753,0.8513761467889909,0.8403669724770643,0.8110091743119267,0.8697247706422019,0.7944954128440367,0.8403669724770643,0.8275229357798165,0.8403669724770643,0.8128440366972477,0.8018348623853211,0.8091743119266055,0.8568807339449541,0.8220183486238533,0.8440366972477065
734ns,0.7418351477449455,0.6174183514774495,0.6485225505443235,0.6687402799377916,1.0,0.6998444790046656,0.8367029548989113,0.7371695178849145,0.8942457231726283,0.8040435458786936,0.9144634525660964,0.71850699844479,0.8180404354587869,0.7076205287713841,0.8320373250388803,0.7107309486780715,0.8553654743390358,0.7978227060653188,0.7962674961119751,0.6531881804043546,0.8631415241057543,0.7045101088646968,0.8973561430793157,0.7962674961119751
734ws,0.8148148148148148,0.7442680776014109,0.7442680776014109,0.8042328042328042,0.7936507936507936,1.0,0.7989417989417991,0.8553791887125219,0.8518518518518519,0.8959435626102292,0.8606701940035273,0.8677248677248677,0.8165784832451499,0.8800705467372134,0.8130511463844797,0.8835978835978836,0.8236331569664903,0.8677248677248677,0.8095238095238095,0.7954144620811288,0.818342151675485,0.8677248677248677,0.8324514991181657,0.8694885361552028
737ns,0.7651757188498403,0.6373801916932907,0.6693290734824281,0.6853035143769968,0.8594249201277955,0.7236421725239617,1.0,0.7603833865814696,0.8993610223642172,0.8194888178913738,0.9089456869009584,0.7492012779552716,0.8514376996805112,0.7268370607028753,0.8450479233226837,0.7380191693290735,0.8578274760383386,0.8003194888178914,0.8083067092651757,0.6645367412140575,0.8769968051118211,0.7348242811501597,0.8722044728434505,0.805111821086262
737ws,0.825,0.7392857142857143,0.7392857142857143,0.7839285714285714,0.8464285714285714,0.8660714285714286,0.85,1.0,0.8642857142857143,0.9107142857142856,0.8964285714285715,0.8446428571428571,0.8357142857142857,0.85,0.825,0.8553571428571428,0.8732142857142857,0.8803571428571428,0.8303571428571429,0.7928571428571428,0.8464285714285714,0.8410714285714286,0.8696428571428572,0.9035714285714286
760ns,0.7395833333333334,0.6160714285714286,0.6428571428571429,0.6711309523809523,0.8556547619047619,0.71875,0.8377976190476191,0.7202380952380952,1.0,0.8199404761904762,0.9211309523809524,0.7217261904761905,0.8139880952380952,0.7217261904761905,0.8273809523809523,0.7232142857142857,0.8407738095238095,0.7857142857142857,0.8050595238095238,0.6488095238095238,0.8630952380952381,0.71875,0.8854166666666666,0.7916666666666666
760ws,0.8231511254019293,0.6977491961414791,0.7041800643086816,0.7524115755627009,0.8311897106109325,0.8167202572347267,0.8247588424437299,0.8199356913183279,0.8858520900321544,1.0,0.9083601286173634,0.8199356913183279,0.8167202572347267,0.8263665594855305,0.8295819935691319,0.8215434083601286,0.8504823151125402,0.8504823151125402,0.8392282958199357,0.7427652733118971,0.8536977491961415,0.8199356913183279,0.8553054662379421,0.8762057877813505
769ns,0.7227722772277227,0.5997171145685997,0.6336633663366337,0.6562942008486563,0.8316831683168316,0.6902404526166902,0.8048090523338048,0.71004243281471,0.8755304101838756,0.7991513437057991,1.0,0.7213578500707214,0.8005657708628006,0.7043847241867044,0.8033946251768034,0.7057991513437057,0.8203677510608204,0.7751060820367751,0.7892503536067893,0.6322489391796322,0.8472418670438473,0.7029702970297029,0.8755304101838756,0.7722772277227723
769ws,0.8184991273996509,0.7626527050610821,0.7539267015706806,0.7993019197207679,0.8062827225130892,0.8586387434554974,0.8184991273996509,0.8254799301919721,0.8464223385689355,0.8900523560209425,0.8900523560209425,1.0,0.8289703315881326,0.8638743455497382,0.8132635253054101,0.8656195462478184,0.8394415357766143,0.8760907504363001,0.8272251308900523,0.7818499127399651,0.8272251308900523,0.8638743455497382,0.8394415357766143,0.8691099476439791
781ns,0.78060413354531,0.6486486486486487,0.6899841017488076,0.7027027027027027,0.8362480127186009,0.7360890302066773,0.8473767885532592,0.7440381558028617,0.8696343402225755,0.8076311605723371,0.8998410174880763,0.7551669316375199,1.0,0.7631160572337043,0.834658187599364,0.7376788553259142,0.8489666136724959,0.7980922098569158,0.8108108108108109,0.685214626391097,0.8537360890302067,0.7456279809220986,0.8744038155802861,0.8012718600953895
781ws,0.8214904679376083,0.7452339688041595,0.7573656845753901,0.8214904679376083,0.7885615251299827,0.8648180242634316,0.7885615251299827,0.8249566724436742,0.8405545927209706,0.8908145580589255,0.8630849220103987,0.8578856152512998,0.8318890814558059,1.0,0.8110918544194108,0.8578856152512998,0.8336221837088388,0.8613518197573656,0.8110918544194108,0.7937608318890814,0.8232235701906413,0.8890814558058926,0.8422876949740035,0.8700173310225303
795ns,0.7950819672131147,0.6573770491803279,0.6868852459016394,0.7098360655737705,0.8770491803278688,0.7557377049180328,0.8672131147540983,0.7573770491803279,0.9114754098360656,0.8459016393442623,0.9311475409836064,0.7639344262295082,0.860655737704918,0.7672131147540984,1.0,0.7655737704918033,0.8590163934426229,0.8278688524590164,0.8213114754098361,0.6901639344262295,0.8868852459016393,0.7557377049180328,0.919672131147541,0.8295081967213115
795ws,0.7913793103448276,0.7379310344827587,0.7224137931034482,0.7896551724137931,0.7879310344827586,0.8637931034482759,0.7965517241379311,0.8258620689655173,0.8379310344827586,0.8810344827586207,0.8603448275862069,0.8551724137931035,0.8,0.8534482758620692,0.8051724137931034,1.0,0.8206896551724138,0.8568965517241379,0.7913793103448276,0.7741379310344828,0.8017241379310345,0.8603448275862069,0.8189655172413793,0.8534482758620692
852ns,0.7163531114327062,0.5918958031837916,0.6266280752532561,0.6526772793053546,0.7959479015918958,0.6758321273516642,0.7771345875542692,0.7076700434153401,0.8176555716353111,0.7655571635311144,0.8393632416787264,0.6960926193921853,0.7727930535455861,0.6960926193921853,0.7583212735166426,0.6888567293777135,1.0,0.7626628075253257,0.7655571635311144,0.6309696092619392,0.7930535455861071,0.6960926193921853,0.8075253256150506,0.7525325615050651
852ws,0.7806451612903226,0.7064516129032258,0.7080645161290322,0.7387096774193549,0.8274193548387097,0.7935483870967742,0.8080645161290323,0.7951612903225806,0.8516129032258064,0.8532258064516128,0.8838709677419355,0.8096774193548387,0.8096774193548387,0.8016129032258065,0.8145161290322581,0.8016129032258065,0.85,1.0,0.8,0.7258064516129032,0.8290322580645161,0.7967741935483871,0.8580645161290322,0.832258064516129
861ns,0.7986688851913477,0.6688851913477537,0.7221297836938436,0.7371048252911814,0.8519134775374376,0.7637271214642263,0.8419301164725458,0.7737104825291181,0.9001663893510815,0.8685524126455907,0.9284525790349416,0.7886855241264559,0.848585690515807,0.7787021630615641,0.8336106489184693,0.7637271214642263,0.8801996672212978,0.8252911813643927,1.0,0.7088186356073212,0.8868552412645591,0.7670549084858569,0.8835274542429284,0.8502495840266223
861ws,0.8821138211382114,0.8089430894308943,0.8252032520325203,0.8882113821138211,0.8536585365853658,0.9166666666666666,0.8455284552845529,0.902439024390244,0.8861788617886179,0.9390243902439024,0.9085365853658536,0.9105691056910568,0.8760162601626016,0.9308943089430894,0.8556910569105691,0.9126016260162602,0.8861788617886179,0.9146341463414634,0.8658536585365854,1.0,0.8617886178861789,0.9207317073170732,0.8861788617886179,0.9268292682926829
866ns,0.7413010590015129,0.6006051437216339,0.653555219364599,0.6671709531013615,0.8396369137670197,0.7019667170953101,0.8305597579425114,0.7170953101361573,0.8774583963691377,0.8033282904689864,0.9062027231467472,0.7170953101361573,0.8124054462934948,0.7186081694402421,0.8184568835098336,0.7034795763993948,0.8290468986384266,0.7776096822995462,0.8063540090771558,0.6414523449319214,1.0,0.7140695915279879,0.8729198184568835,0.7791225416036308
