,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.6538461538461539,0.7596153846153846,0.7211538461538461,0.8942307692307693,0.7596153846153846,0.8557692307692307,0.7788461538461539,0.8653846153846154,0.8365384615384616,0.8942307692307693,0.7692307692307693,0.875,0.7692307692307693,0.8461538461538461,0.75,0.903846153846154,0.8846153846153846,0.8365384615384616,0.6826923076923077,0.8653846153846154,0.75,0.9134615384615384,0.8942307692307693
730ws,0.85,1.0,0.85,0.8125,0.875,0.8875,0.85,0.825,0.875,0.8625,0.8875,0.875,0.825,0.85,0.9,0.85,0.9,0.9375,0.8375,0.8125,0.825,0.8375,0.85,0.9
733ns,0.8876404494382022,0.7640449438202247,1.0,0.8314606741573034,0.9213483146067416,0.8089887640449438,0.8988764044943821,0.797752808988764,0.8651685393258427,0.8314606741573034,0.9213483146067416,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.8651685393258427,0.797752808988764,0.8764044943820225,0.9438202247191012,0.8876404494382022,0.7752808988764045,0.8988764044943821,0.7865168539325843,0.9325842696629212,0.8988764044943821
733ws,0.7575757575757576,0.6565656565656566,0.7474747474747475,1.0,0.7777777777777778,0.7575757575757576,0.797979797979798,0.7373737373737373,0.7878787878787878,0.7575757575757576,0.8080808080808081,0.7575757575757576,0.7575757575757576,0.7474747474747475,0.7373737373737373,0.7777777777777778,0.7777777777777778,0.8080808080808081,0.7878787878787878,0.7575757575757576,0.7575757575757576,0.7171717171717171,0.7777777777777778,0.797979797979798
734ns,0.7265625,0.546875,0.640625,0.6015625,1.0,0.65625,0.796875,0.6640625,0.828125,0.7109375,0.859375,0.6484375,0.78125,0.6484375,0.796875,0.625,0.796875,0.796875,0.7578125,0.5625,0.8046875,0.609375,0.8828125,0.75
734ws,0.79,0.71,0.72,0.75,0.84,1.0,0.8,0.79,0.85,0.8,0.84,0.8,0.79,0.81,0.83,0.77,0.86,0.89,0.8,0.72,0.79,0.76,0.84,0.85
737ns,0.7355371900826446,0.5619834710743802,0.6611570247933884,0.6528925619834711,0.8429752066115702,0.6611570247933884,1.0,0.7107438016528925,0.8347107438016529,0.7355371900826446,0.8512396694214877,0.628099173553719,0.7933884297520661,0.6446280991735537,0.7768595041322314,0.6694214876033058,0.8264462809917356,0.8016528925619835,0.7685950413223142,0.6033057851239669,0.7768595041322314,0.6446280991735537,0.8264462809917356,0.743801652892562
737ws,0.8350515463917526,0.6804123711340206,0.7319587628865979,0.7525773195876289,0.8762886597938144,0.8144329896907216,0.8865979381443299,1.0,0.8865979381443299,0.8762886597938144,0.8865979381443299,0.7835051546391752,0.8247422680412371,0.7938144329896907,0.8453608247422679,0.8247422680412371,0.8865979381443299,0.865979381443299,0.8247422680412371,0.7422680412371134,0.8350515463917526,0.7938144329896907,0.8762886597938144,0.9072164948453608
760ns,0.6923076923076923,0.5384615384615384,0.5923076923076923,0.6,0.8153846153846154,0.6538461538461539,0.7769230769230769,0.6615384615384615,1.0,0.7384615384615385,0.8538461538461538,0.6076923076923076,0.7692307692307693,0.6692307692307692,0.7769230769230769,0.6307692307692307,0.7923076923076923,0.8076923076923077,0.7,0.5769230769230769,0.7923076923076923,0.6384615384615384,0.823076923076923,0.7538461538461538
760ws,0.8130841121495327,0.6448598130841121,0.6915887850467289,0.7009345794392523,0.8504672897196262,0.7476635514018691,0.8317757009345794,0.794392523364486,0.8971962616822429,1.0,0.8878504672897196,0.7570093457943925,0.7850467289719626,0.7757009345794392,0.8785046728971962,0.7850467289719626,0.8785046728971962,0.8878504672897196,0.8317757009345794,0.6635514018691588,0.8411214953271028,0.7663551401869159,0.8411214953271028,0.8691588785046729
