,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.7158746208291203,0.7411526794742164,0.7441860465116279,0.8109201213346815,0.8291203235591507,0.7957532861476239,0.8200202224469161,0.8473205257836198,0.9160768452982808,0.8695652173913043,0.8392315470171892,0.8432760364004045,0.8230535894843276,0.8179979777553084,0.8169868554095046,0.8503538928210314,0.8675429726996967,0.8574317492416582,0.7694641051567239,0.8220424671385238,0.7947421638018201,0.8614762386248737,0.8705763397371082
730ws,0.8687116564417178,1.0,0.841717791411043,0.8650306748466258,0.7865030674846626,0.9116564417177914,0.7656441717791411,0.8797546012269939,0.8245398773006135,0.916564417177914,0.8539877300613496,0.9276073619631902,0.8331288343558282,0.9141104294478528,0.8012269938650307,0.9067484662576688,0.8171779141104294,0.9251533742331288,0.8355828220858895,0.8478527607361963,0.7742331288343558,0.8920245398773006,0.8478527607361963,0.8858895705521472
733ns,0.8643867924528302,0.8089622641509434,1.0,0.8490566037735849,0.7924528301886793,0.8561320754716981,0.7806603773584906,0.8372641509433962,0.8278301886792453,0.8926886792452831,0.8620283018867925,0.8691037735849056,0.8396226415094341,0.8702830188679245,0.7959905660377359,0.8490566037735849,0.8360849056603774,0.8832547169811321,0.8632075471698113,0.8113207547169812,0.8042452830188679,0.8525943396226415,0.8490566037735849,0.8667452830188679
733ws,0.8232662192393736,0.7885906040268457,0.8053691275167785,1.0,0.7706935123042505,0.8557046979865772,0.7527964205816555,0.8299776286353467,0.8076062639821029,0.8814317673378076,0.8422818791946308,0.8668903803131991,0.8053691275167785,0.8803131991051454,0.7953020134228188,0.8579418344519015,0.8131991051454138,0.8736017897091722,0.8322147651006712,0.8221476510067114,0.7807606263982103,0.8322147651006712,0.8221476510067114,0.8545861297539151
734ns,0.8028028028028028,0.6416416416416416,0.6726726726726727,0.6896896896896897,1.0,0.7627627627627628,0.8488488488488488,0.7767767767767768,0.9339339339339341,0.8578578578578578,0.931931931931932,0.7807807807807807,0.8668668668668669,0.7597597597597597,0.8928928928928929,0.7577577577577578,0.8718718718718719,0.8498498498498499,0.8778778778778779,0.7157157157157157,0.8838838838838838,0.7317317317317318,0.9389389389389391,0.8448448448448449
734ws,0.82744702320888,0.7497477295660948,0.7325933400605449,0.7719475277497477,0.768920282542886,1.0,0.7578203834510595,0.8597376387487387,0.8092835519677094,0.8920282542885973,0.8385469223007064,0.8748738647830474,0.8173562058526741,0.8607467204843592,0.7901109989909183,0.8708375378405651,0.8153380423814329,0.8758829465186679,0.8213925327951564,0.8042381432896064,0.7759838546922301,0.8224016145307771,0.82744702320888,0.8718466195761857
737ns,0.8014256619144603,0.6354378818737271,0.6741344195519349,0.6853360488798371,0.8635437881873728,0.7647657841140529,1.0,0.7708757637474541,0.9256619144602852,0.8411405295315683,0.910386965376782,0.7769857433808554,0.879837067209776,0.7535641547861507,0.8635437881873728,0.7606924643584522,0.860488798370672,0.8441955193482689,0.8441955193482689,0.7057026476578412,0.8492871690427699,0.7270875763747454,0.8981670061099797,0.8207739307535642
737ws,0.8465553235908142,0.7484342379958246,0.7411273486430062,0.7745302713987474,0.8100208768267223,0.8893528183716075,0.7901878914405011,1.0,0.8486430062630479,0.9269311064718164,0.8789144050104384,0.8851774530271399,0.8413361169102297,0.8705636743215032,0.8235908141962421,0.8810020876826722,0.8392484342379958,0.9018789144050104,0.8580375782881002,0.824634655532359,0.8079331941544885,0.8350730688935282,0.8663883089770354,0.9164926931106472
760ns,0.7522441651705566,0.6032315978456014,0.63016157989228,0.6481149012567325,0.8375224416517055,0.7199281867145422,0.8159784560143627,0.729802513464991,1.0,0.8231597845601436,0.9048473967684022,0.7432675044883303,0.8195691202872532,0.7217235188509874,0.8339317773788151,0.725314183123878,0.8312387791741472,0.8061041292639138,0.8312387791741472,0.6696588868940754,0.8249551166965888,0.6956912028725314,0.8922800718132855,0.7908438061041293
760ws,0.8258887876025525,0.6809480401093893,0.6900638103919782,0.7183226982680037,0.7812215132178669,0.8058340929808568,0.7529626253418414,0.8094804010938924,0.8359161349134002,1.0,0.8614402917046491,0.8295350957155879,0.8021877848678214,0.8067456700091158,0.8058340929808568,0.804922515952598,0.8140382862351869,0.8541476754785781,0.8359161349134002,0.7338195077484048,0.7930720145852325,0.7793983591613491,0.8331814038286235,0.8623518687329079
769ns,0.7543859649122807,0.6105263157894737,0.6412280701754386,0.6605263157894737,0.8166666666666667,0.7289473684210527,0.7842105263157895,0.7385964912280701,0.8842105263157894,0.8289473684210527,1.0,0.7640350877192983,0.8131578947368421,0.7210526315789474,0.8166666666666667,0.7236842105263158,0.8175438596491228,0.8149122807017544,0.8368421052631579,0.6745614035087719,0.8254385964912281,0.6973684210526315,0.8771929824561403,0.8070175438596491
769ws,0.8258706467661692,0.7522388059701492,0.7333333333333333,0.7711442786069652,0.7761194029850746,0.8626865671641791,0.7592039800995025,0.8437810945273632,0.8238805970149253,0.9054726368159204,0.8666666666666667,1.0,0.8139303482587065,0.8507462686567164,0.7930348258706468,0.8537313432835821,0.8149253731343283,0.8865671641791045,0.8248756218905473,0.7860696517412935,0.7830845771144279,0.8248756218905473,0.8348258706467662,0.8696517412935323
781ns,0.7823639774859287,0.6369606003752345,0.6679174484052532,0.6754221388367729,0.8123827392120075,0.7598499061913696,0.8105065666041276,0.7560975609756098,0.8564727954971857,0.8255159474671669,0.8696060037523452,0.7673545966228893,1.0,0.7560975609756098,0.8198874296435272,0.7532833020637899,0.8227016885553471,0.8208255159474672,0.8264540337711069,0.701688555347092,0.8189493433395872,0.7298311444652908,0.8686679174484052,0.801125703564728
781ws,0.8230535894843276,0.7532861476238625,0.7462082912032356,0.7957532861476239,0.7674418604651163,0.8624873609706775,0.7482305358948432,0.8432760364004045,0.8129423660262892,0.8948432760364005,0.8311425682507584,0.8645096056622852,0.8149646107178968,1.0,0.7856420626895855,0.8816986855409504,0.8018200202224469,0.8705763397371082,0.813953488372093,0.8058645096056622,0.7724974721941354,0.8483316481294236,0.8250758341759353,0.8564206268958544
795ns,0.7978303747534516,0.6439842209072978,0.665680473372781,0.7011834319526628,0.8796844181459567,0.7721893491124259,0.8362919132149902,0.7781065088757396,0.916173570019724,0.8717948717948718,0.9181459566074952,0.7859960552268245,0.8619329388560157,0.7662721893491125,1.0,0.7721893491124259,0.8589743589743589,0.8441814595660749,0.8629191321499013,0.7130177514792899,0.8550295857988166,0.73767258382643,0.9102564102564102,0.8461538461538461
795ws,0.8145161290322581,0.7449596774193549,0.7258064516129032,0.7731854838709677,0.7631048387096774,0.8699596774193549,0.7530241935483871,0.8508064516129032,0.8145161290322581,0.8901209677419355,0.8316532258064516,0.8649193548387096,0.8094758064516129,0.8790322580645161,0.7893145161290323,1.0,0.813508064516129,0.8709677419354839,0.8165322580645161,0.7983870967741935,0.7701612903225806,0.844758064516129,0.8276209677419355,0.8639112903225806
852ns,0.7502230151650312,0.5941123996431757,0.6324710080285461,0.648528099910794,0.7769848349687779,0.7207850133809101,0.7537912578055308,0.7172167707404103,0.8260481712756468,0.7966101694915254,0.8314005352363961,0.7305976806422837,0.7823371989295272,0.7074041034790366,0.7769848349687779,0.719892952720785,1.0,0.8162355040142729,0.8028545941123997,0.6663693131132917,0.7823371989295272,0.6904549509366636,0.8233719892952721,0.7743086529884032
852ws,0.7959183673469388,0.699443413729128,0.6948051948051948,0.7244897959183674,0.787569573283859,0.8051948051948052,0.7690166975881262,0.8014842300556586,0.8330241187384044,0.8692022263450835,0.8617810760667903,0.8265306122448979,0.8116883116883117,0.7987012987012987,0.7940630797773655,0.8014842300556586,0.8487940630797773,1.0,0.8163265306122449,0.7346938775510204,0.7829313543599258,0.7764378478664193,0.8385899814471243,0.839517625231911
861ns,0.8007554296506137,0.6430594900849859,0.6912181303116147,0.7025495750708215,0.8281397544853636,0.7686496694995278,0.7828139754485364,0.7762039660056658,0.874409820585458,0.8659112370160529,0.9008498583569404,0.7828139754485364,0.8319169027384324,0.7601510859301227,0.826251180358829,0.7648725212464589,0.8498583569405099,0.8309726156751652,1.0,0.7233238904627006,0.8545797922568461,0.7261567516525024,0.8800755429650614,0.8470254957507082
861ws,0.8767281105990783,0.7960829493087558,0.7926267281105991,0.8467741935483871,0.8237327188940092,0.9182027649769584,0.7983870967741935,0.9101382488479264,0.8594470046082949,0.9274193548387096,0.8859447004608295,0.9101382488479264,0.8617511520737328,0.9182027649769584,0.8329493087557603,0.912442396313364,0.8605990783410138,0.912442396313364,0.8824884792626728,1.0,0.8237327188940092,0.8836405529953917,0.8709677419354839,0.9158986175115208
866ns,0.7916260954235638,0.6144109055501461,0.6640701071080818,0.6796494644595911,0.8597857838364168,0.7487828627069133,0.8120740019474196,0.75365141187926,0.8948393378773125,0.8471275559883155,0.9162609542356378,0.7663096397273612,0.8500486854917235,0.7439143135345667,0.8442064264849075,0.7439143135345667,0.8539435248296008,0.8218111002921129,0.8812074001947421,0.6962025316455697,1.0,0.7195715676728335,0.9006815968841285,0.8305744888023369
866ws,0.8273684210526315,0.7652631578947369,0.7610526315789473,0.783157894736842,0.7694736842105263,0.8578947368421053,0.751578947368421,0.8421052631578947,0.8157894736842105,0.9,0.8368421052631579,0.8726315789473684,0.8189473684210526,0.8831578947368421,0.7873684210526316,0.8821052631578947,0.8147368421052632,0.8810526315789474,0.8094736842105263,0.8073684210526316,0.7778947368421053,1.0,0.8326315789473684,0.8557894736842105
867ns,0.7641255605381166,0.6197309417040359,0.6457399103139013,0.6591928251121076,0.8412556053811658,0.7354260089686099,0.7910313901345292,0.7443946188340808,0.8914798206278027,0.8197309417040358,0.8968609865470852,0.7524663677130045,0.8304932735426009,0.7318385650224215,0.8278026905829596,0.7363228699551571,0.8278026905829596,0.8107623318385648,0.8358744394618834,0.6780269058295965,0.8295964125560538,0.7094170403587444,1.0,0.8188340807174888
867ws,0.8278846153846153,0.6942307692307692,0.7067307692307693,0.7346153846153847,0.8115384615384615,0.8307692307692308,0.775,0.8442307692307692,0.8471153846153846,0.9096153846153846,0.8846153846153846,0.8403846153846154,0.8211538461538461,0.8144230769230769,0.825,0.8240384615384615,0.8346153846153846,0.8701923076923077,0.8625,0.7644230769230769,0.8201923076923077,0.7817307692307692,0.8778846153846154,1.0
