,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.9547233851183408,0.9600365421070408,0.9568339881254864,0.9509019398710354,0.958069497235794,0.9512402195519388,0.9552393263296328,0.9518953791624641,0.9692542052882206,0.9535238865300258,0.9615990584012736,0.9575099299847812,0.9606923553544008,0.9583993701482408,0.9564262897626667,0.9512066798115548,0.9575522810187002,0.9569029849813948,0.9604203690234691,0.9515731923840692,0.9602218092314344,0.9515692161772368,0.9617894218029518
730ws,0.9547233851183408,1.0,0.9579868918960764,0.9553729260423992,0.9304682615805984,0.9539654331568131,0.9293792442541078,0.9490899604181192,0.9306773308367078,0.9533764633264687,0.9321001003904504,0.9598810701431956,0.9363992025856868,0.9554483533199402,0.9367972459198186,0.9543297412665518,0.927431205332096,0.9536594880065145,0.9376674382694988,0.9569258858455576,0.9266907860041326,0.9560277459144676,0.9341984046150748,0.9500480680575903
733ns,0.9600365421070408,0.9579868918960764,1.0,0.9648986761257358,0.9377271324144834,0.9506541656479346,0.9400458593966918,0.9465719886580404,0.9383796340485681,0.9479293881448516,0.9409246716445544,0.9558304185905052,0.9503103095769558,0.9553039130925964,0.9459590119104692,0.9462799635762092,0.9370965021935288,0.9509587341132284,0.9513503094182963,0.9579578825840686,0.9389647592321048,0.9546197524889034,0.9421448064398658,0.950368499158336
733ws,0.9568339881254864,0.9553729260423992,0.9648986761257358,1.0,0.9373602196969152,0.9596101140321622,0.9387660383691458,0.9505029480927396,0.9392766648785932,0.9554963833397012,0.9411274846767868,0.9580974833305786,0.94431563946688,0.9651387729913136,0.9430541886387848,0.9567739480282296,0.937550325542706,0.9497429434315569,0.9451626761432088,0.9647487044321208,0.9378267742976852,0.9636404499442576,0.9356977547281188,0.9541084286495346
734ns,0.9509019398710354,0.9304682615805984,0.9377271324144834,0.9373602196969152,0.9997317825888687,0.9390126739870672,0.9642990432678746,0.9527273653510776,0.9691636498917452,0.9550262537294,0.9692002360496552,0.9439954724204458,0.958471435250374,0.9379824995735508,0.9656588450606765,0.9397529453621304,0.9603441942074472,0.9565000562395192,0.9587107613708546,0.9386839243124492,0.9664540140715618,0.9407422717396694,0.9733471764420841,0.9607605428059904
734ws,0.958069497235794,0.9539654331568131,0.9506541656479346,0.9596101140321622,0.9390126739870672,0.9998690734809821,0.9401238763697434,0.9638467356457848,0.9469651487435587,0.9662066041105208,0.9451929673409548,0.9653351009185503,0.9455832235594908,0.9685092607454836,0.9492952192894644,0.9688828475824808,0.9413675936960068,0.9577097879246896,0.9470223376647232,0.9617529594365188,0.9423667313959264,0.967623629643284,0.942273881539248,0.9600863641731368
737ns,0.9512402195519388,0.9293792442541078,0.9400458593966918,0.9387660383691458,0.9642990432678746,0.9401238763697434,1.0,0.9499100265077012,0.9653148237584628,0.9556669748150426,0.9674733121618097,0.9475357729876932,0.9632038676822158,0.9414794709158611,0.9651423127370928,0.9421738437242868,0.956877105594607,0.9516642240608688,0.9572094829127944,0.9333057157324046,0.9654326670189892,0.9440848349334641,0.9603693900783684,0.9563075568983332
737ws,0.9552393263296328,0.9490899604181192,0.9465719886580404,0.9505029480927396,0.9527273653510776,0.9638467356457848,0.9499100265077012,1.0,0.9439576975544522,0.9631305541534848,0.9476723633002552,0.9571197917098928,0.9485170004936312,0.9564074895666976,0.9465463226933192,0.9575368192175626,0.9473878128636959,0.9594554152954352,0.9461261008708536,0.9587790786046992,0.9433455543452158,0.9557222931741725,0.9492550218529854,0.9691986040993841
760ns,0.9518953791624641,0.9306773308367078,0.9383796340485681,0.9392766648785932,0.9691636498917452,0.9469651487435587,0.9653148237584628,0.9439576975544522,0.9997811306824652,0.9641826751543738,0.9754858114466424,0.9497635256225648,0.9614930283188761,0.947392150791732,0.9689087546636996,0.9483014731841584,0.9599280617880972,0.9553907284636002,0.9605222169600404,0.9378530143390268,0.9701357976460128,0.9480517605984744,0.9698843023432344,0.9581112934756938
760ws,0.9692542052882206,0.9533764633264687,0.9479293881448516,0.9554963833397012,0.9550262537294,0.9662066041105208,0.9556669748150426,0.9631305541534848,0.9641826751543738,0.9998806505847536,0.9653649027382164,0.9657174826167644,0.9554304019919376,0.9656071920928772,0.9602610323067349,0.9667406923351995,0.9532111426540454,0.9632212991015832,0.9594699352365323,0.9590284376963144,0.9583533910673702,0.9650675823231316,0.9544406886101338,0.9715849265810388
