,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.8684208610147073,0.9092769667316324,0.8681514109820458,0.876579751119904,0.8929373404550952,0.8712006588017602,0.8953676419000245,0.8817974628779242,0.9276341044938096,0.8706718499182141,0.8822691436103517,0.8972694360573821,0.8770797977357752,0.8851648379573933,0.8794021350819176,0.9072283809996338,0.8827023227255184,0.9084864687506718,0.8767756168023014,0.889347175389268,0.8793446217503708,0.8858799394574802,0.8993693910554326
730ws,0.8684208610147073,1.0,0.8928254017138196,0.8490466170033294,0.8232882221385808,0.8823080987691985,0.8140671646659989,0.867642460861665,0.8298654139915528,0.8703253332408047,0.8221136955843635,0.8688225179879506,0.8363028102492159,0.8653959550380217,0.8504091423377547,0.8567431839881406,0.8351580803711628,0.8401611013361576,0.8637320905337227,0.8912937492671479,0.8275067416683105,0.8606615328271178,0.8063728235097839,0.8583500186988376
733ns,0.9092769667316324,0.8928254017138196,1.0,0.8856347757259041,0.8658454200522719,0.8807518988536253,0.8632891354811605,0.8790353041714059,0.8501205474337113,0.8837398609479513,0.8543434527552679,0.8815955377023638,0.8592642957237572,0.8876494588581376,0.8599261463219577,0.8656036837799499,0.8577358217779522,0.8655005935012335,0.9090928453836816,0.9070504120292849,0.8729851984871448,0.8598406959209595,0.871830940721011,0.8821244004463457
733ws,0.8681514109820458,0.8490466170033294,0.8856347757259041,1.0,0.8177469945000722,0.8767660987072708,0.8400241228664818,0.8732833070252948,0.8320852034153727,0.8655589955817017,0.8248210088107769,0.8627182928677187,0.8377771686167631,0.8655813840448331,0.8123527280138488,0.8779344095585557,0.8397424189277859,0.8266074616066059,0.8755341921832929,0.9061935406680705,0.8253070034937936,0.8534350077520887,0.8218845333260762,0.8580717829392164
734ns,0.876579751119904,0.8232882221385808,0.8658454200522719,0.8177469945000722,1.0,0.8569373355287545,0.8875364295381463,0.867950719860724,0.9029140436346824,0.8914166376958218,0.899417521188136,0.8425854430717731,0.8961343873125528,0.8311117129340215,0.901591168346942,0.8411868679649663,0.8867315757754011,0.8788556611269065,0.9003496549951594,0.8151512422791021,0.8963376608638525,0.8251517697440619,0.9363794048377888,0.8668394409705014
734ws,0.8929373404550952,0.8823080987691985,0.8807518988536253,0.8767660987072708,0.8569373355287545,1.0,0.8478384901389661,0.8917044910511235,0.8601750992380756,0.8922556248939686,0.846725252652048,0.8971019667851059,0.8615666087107618,0.8842984714735772,0.8761378816971872,0.8786965609412342,0.8724986747180281,0.8646065457603954,0.8938205931760514,0.8775147758335569,0.8566221754037812,0.8681054827745475,0.8557814648817471,0.8741644609706167
737ns,0.8712006588017602,0.8140671646659989,0.8632891354811605,0.8400241228664818,0.8875364295381463,0.8478384901389661,1.0,0.8861280799378163,0.8825069964492637,0.8791443265124581,0.8880580855832849,0.8190927321855881,0.8729811298445601,0.8133825374186607,0.8704891964412408,0.8570579087630396,0.8845677805613651,0.8615684069459394,0.8954732595059359,0.8350301213241563,0.8644322562200984,0.8389124731181982,0.8865632059941105,0.8506520089296011
737ws,0.8953676419000245,0.867642460861665,0.8790353041714059,0.8732833070252948,0.867950719860724,0.8917044910511235,0.8861280799378163,1.0,0.8737163981469154,0.9134019994831653,0.8546043679341649,0.8707121472428574,0.8615356053548993,0.8655306079561441,0.8635920906014588,0.8902526139137642,0.8788329428364715,0.8494025729233587,0.8918213995145468,0.8883175080343579,0.8745996665292525,0.8894748524800042,0.8663194294842311,0.9027519028527532
760ns,0.8817974628779242,0.8298654139915528,0.8501205474337113,0.8320852034153727,0.9029140436346824,0.8601750992380756,0.8825069964492637,0.8737163981469154,1.0,0.9158383539905084,0.8971536946572013,0.8321029871131408,0.8937331185279754,0.8555435751140019,0.897958966149584,0.8621818824732447,0.8981650337151912,0.8980906989520722,0.8785241357164233,0.8427850066563138,0.9109888680979784,0.8539033720192221,0.9097266792811728,0.8948291306247164
760ws,0.9276341044938096,0.8703253332408047,0.8837398609479513,0.8655589955817017,0.8914166376958218,0.8922556248939686,0.8791443265124581,0.9134019994831653,0.9158383539905084,1.0,0.8865009836868732,0.8875325047890247,0.8850063159260199,0.8855952158047268,0.9100139213218398,0.9013073261285328,0.9043715712531366,0.8964701983452568,0.9229899928185956,0.8701770877400201,0.8994221305854928,0.8907602401622753,0.8843660181930287,0.9161561730122044
