,730ns,730ws,733ns,733ws,734ns,734ws,737ns,737ws,760ns,760ws,769ns,769ws,781ns,781ws,795ns,795ws,852ns,852ws,861ns,861ws,866ns,866ws,867ns,867ws
730ns,1.0,0.9375979317542772,0.9414954782502851,0.9365528509912396,0.9478857035272604,0.9521381694248138,0.9427213393645903,0.9528035462032142,0.9446388478139452,0.9650701842377826,0.949226196419328,0.9537044881162734,0.949129831107506,0.9515845867613216,0.9478774129046156,0.948653181262506,0.9445562732102376,0.9545910813336314,0.9530230671218012,0.9494867647591064,0.9486789442825758,0.9457991667051254,0.9494560919486559,0.9600855699330786
730ws,0.9375979317542772,1.0,0.9488828477698054,0.9497874749265092,0.9177488461526804,0.9488477537395228,0.9119569736112844,0.9443981791300168,0.9139276078271348,0.9379670649963381,0.9196717616545379,0.9518208077541024,0.9210354385645658,0.9504663083644116,0.9205839607149694,0.9473941193811956,0.9098290791590088,0.9416452355006991,0.921325606346358,0.948505565217908,0.9097790650472714,0.9477959074993612,0.9195161109890032,0.9382603846600149
733ns,0.9414954782502851,0.9488828477698054,1.0,0.9495596125071936,0.9232368261107328,0.9394375763154086,0.9193605548521674,0.9373285674327394,0.9181382142324008,0.9363932810895204,0.9247159977893096,0.9393078423423564,0.9275686196910587,0.942666155868754,0.9224631064493036,0.9360026855341074,0.9193536872403578,0.9352403148966808,0.9336747610721507,0.942052448565562,0.9239269328128202,0.9408363379313402,0.9249491340604076,0.9360263827018586
733ws,0.9365528509912396,0.9497874749265092,0.9495596125071936,0.9999967486728696,0.9227640227328572,0.945914812176869,0.9181865730393962,0.9429088298939392,0.9196847612924672,0.9408559478571721,0.9275264741127308,0.9471143087225494,0.9251012316261727,0.9525048940691164,0.9290050192372006,0.948065734747848,0.9205621695773942,0.940453242518605,0.9323644325253624,0.9522193045929034,0.9222212536835672,0.9444138952082672,0.9236384016617954,0.9408814812076536
734ns,0.9478857035272604,0.9177488461526804,0.9232368261107328,0.9227640227328572,0.9999976548676252,0.9374591749341944,0.9618785588809746,0.9457308444294376,0.9692598009614568,0.9510817358126452,0.9670392167066444,0.9383083426397836,0.9589784296426662,0.9351849408008244,0.9708811957729084,0.9346031960333149,0.9510560933932968,0.9502228006114228,0.9606049899887268,0.9365084420782932,0.9671253582932118,0.9312793923578464,0.9711738833974144,0.9539188875504736
734ws,0.9521381694248138,0.9488477537395228,0.9394375763154086,0.945914812176869,0.9374591749341944,0.999868887986498,0.9345405842867388,0.9664173747310324,0.9363910906453689,0.958558208552508,0.9423050755548398,0.9640902871510304,0.9410552814678176,0.9621072549960956,0.942460210658166,0.9643969273699016,0.9370202558261104,0.9565991178386676,0.9432906848907412,0.9598205706735592,0.9341173506987378,0.9548558684829921,0.9413738126114732,0.9598752087612468
737ns,0.9427213393645903,0.9119569736112844,0.9193605548521674,0.9181865730393962,0.9618785588809746,0.9345405842867388,0.9999976142696104,0.9400179433622916,0.9648617842175132,0.9433195238268278,0.9575531407063688,0.9342982671678016,0.9571264292684598,0.930041249424968,0.9598952477196488,0.9323432012998549,0.9455698705581986,0.9451664210517136,0.9491085044680916,0.9302983337598985,0.9540767149822376,0.9256272671675824,0.9581583526996564,0.9442756658513956
737ws,0.9528035462032142,0.9443981791300168,0.9373285674327394,0.9429088298939392,0.9457308444294376,0.9664173747310324,0.9400179433622916,0.9999034576706206,0.9434719548471312,0.9627096386514484,0.9485899986385388,0.96165600669802,0.945189410221822,0.9604436709285564,0.9468274994906578,0.9615565603630832,0.9385008975580036,0.9590267368940648,0.9496619731181464,0.9615952729832132,0.9394050069552368,0.9531763871994464,0.948236994421701,0.966991170328576
760ns,0.9446388478139452,0.9139276078271348,0.9181382142324008,0.9196847612924672,0.9692598009614568,0.9363910906453689,0.9648617842175132,0.9434719548471312,0.9999978969593872,0.9561312314381706,0.9715955838625384,0.9395624751749118,0.9568618847975822,0.9355515626891054,0.966026654461652,0.9371097964123424,0.953373358128726,0.9511145559452854,0.9594593881190888,0.9332300642688056,0.9623666292750545,0.9323215662674368,0.969332581004398,0.9518025039579016
760ws,0.9650701842377826,0.9379670649963381,0.9363932810895204,0.9408559478571721,0.9510817358126452,0.958558208552508,0.9433195238268278,0.9627096386514484,0.9561312314381706,0.9999156904726112,0.9601044484704829,0.9618328825058138,0.9511851029313216,0.9586057302962836,0.957685744393696,0.9578931250281372,0.9460895601015408,0.9633176903764196,0.9604185956457518,0.950431671503859,0.9506181774705946,0.9547573735812735,0.9526051147575996,0.9693935672438704
